iter	Passed	Remaining
0	49	49647
1	50	25327
2	51	17211
3	52	13138
4	53	10660
5	54	9040
6	55	7885
7	56	7008
8	61	6824
9	67	6642
10	69	6244
11	74	6114
12	76	5836
13	81	5732
14	86	5652
15	87	5383
16	102	5955
17	106	5813
18	107	5562
19	110	5421
20	115	5400
21	118	5251
22	126	5380
23	132	5398
24	139	5434
25	140	5274
26	142	5119
27	151	5276
28	154	5175
29	158	5108
30	163	5112
31	164	4987
32	167	4913
33	181	5154
34	185	5119
35	192	5147
36	197	5146
37	203	5163
38	205	5059
39	213	5121
40	223	5223
41	230	5255
42	235	5243
43	240	5228
44	250	5321
45	260	5408
46	268	5442
47	273	5414
48	278	5405
49	287	5453
50	288	5367
51	299	5452
52	307	5501
53	313	5496
54	317	5448
55	321	5420
56	323	5347
57	331	5376
58	337	5386
59	343	5388
60	349	5378
61	356	5393
62	360	5357
63	361	5287
64	367	5290
65	379	5369
66	380	5301
67	381	5228
68	388	5237
69	396	5262
70	400	5241
71	402	5193
72	409	5202
73	411	5146
74	420	5192
75	425	5175
76	430	5160
77	434	5140
78	437	5098
79	444	5109
80	452	5132
81	459	5145
82	461	5100
83	462	5047
84	463	4991
85	474	5044
86	476	5005
87	481	4994
88	487	4986
89	491	4973
90	502	5022
91	509	5024
92	512	4994
93	514	4961
94	519	4944
95	520	4898
96	522	4867
97	528	4860
98	534	4860
99	536	4824
100	542	4827
101	543	4785
102	545	4754
103	548	4729
104	550	4694
105	557	4704
106	560	4675
107	565	4666
108	572	4683
109	576	4667
110	582	4664
111	592	4697
112	593	4661
113	602	4680
114	606	4665
115	608	4638
116	615	4646
117	619	4628
118	623	4616
119	627	4604
120	630	4579
121	634	4567
122	636	4538
123	643	4547
124	650	4551
125	652	4526
126	655	4508
127	659	4492
128	666	4498
129	670	4487
130	673	4469
131	677	4456
132	679	4432
133	682	4409
134	685	4394
135	688	4376
136	693	4370
137	699	4369
138	700	4341
139	705	4332
140	709	4322
141	713	4308
142	722	4330
143	730	4344
144	733	4322
145	739	4325
146	750	4357
147	760	4379
148	762	4355
149	764	4332
150	765	4306
151	777	4338
152	785	4346
153	791	4349
154	801	4366
155	806	4363
156	808	4342
157	811	4323
158	819	4333
159	824	4330
160	841	4385
161	849	4395
162	854	4387
